Classifier,Condition,Action,Fitness,Prediction,Error,Experience
0,10#1##,0,0.029090745353259617,787.3341005109941,201.4603401891458,66
3,##0#00,1,0.027032031099664722,427.8703655967785,425.7764495216083,23
6,#0#00#,0,0.014599761423607038,603.1196183505205,340.28135347306966,77
7,000111,0,0.48723889493333333,1000.0,0.0,8
8,0#0#1#,1,0.07601088463396916,268.351709764884,353.312203002031,29
10,##101#,1,0.029343733846354074,717.3514837085966,313.6745719859183,75
11,###0#1,0,0.02093417349079944,674.7158933287863,354.40727710042273,126
12,#111#0,1,0.013676779518446588,905.1630753877341,204.90251859757947,38
13,##1110,0,0.10667700874106663,421.9961391615836,393.9732980064321,22
16,01#10#,0,0.9467545227766139,0.0,0.0,27
17,00#101,0,0.03142372835333972,738.796716032,293.2155689642667,16
18,###101,1,8.598369891320111e-05,839.4024995964387,235.2427903211929,81
19,#1##00,1,0.0009976378113904167,598.1140840128182,435.1930580936742,34
20,##1#00,0,0.011650854620726972,379.7103609196358,396.3718284544187,83
22,11111#,0,0.050627029318956226,649.1776,390.40341333333333,11
23,###11#,0,0.019848760558777073,447.4004217248071,433.7707157086694,92
27,##00#1,1,7.198353785162045e-05,758.9460211812956,319.5815546291721,50
29,##0#00,0,0.004229863995567088,993.1334842785352,29.52492824049752,104
32,#1#00#,1,0.002852135815653316,602.7378332891493,421.553372037725,39
33,#####1,0,0.007407761998968986,456.264826597216,418.3900027166545,210
38,10##10,1,0.9597409055364711,1000.0,0.0,41
43,0#00#1,1,0.8444188497765991,0.0,0.0,13
46,1#1#1#,1,0.0012604107991212182,960.1270135562403,106.1360595873416,75
47,###01#,0,0.015189603317070208,695.7427928897127,370.4920925351083,110
49,0#0#00,0,7.907428562158485e-05,942.4201943274368,155.4042726544695,48
50,##1##1,0,0.013367334017892965,359.6338145794556,421.8462257215236,80
59,0##0#1,1,0.004988883850187427,591.70993870639,434.487011853509,49
62,#01#00,1,0.0030912733959123995,536.0433648501862,416.64309421029805,28
63,#000##,0,0.0023545354238108203,976.7163808143463,77.89933519112519,75
65,0##01#,0,0.005837240184925505,977.0768804156908,75.78042807934773,64
69,###101,0,0.0009224672636050427,529.7231508396383,414.67286418176735,47
81,#####1,1,0.030226148602931414,792.9138079630408,313.44875029339545,260
83,##0101,1,0.000608345284217151,823.6778717277804,299.1242194070724,39
88,##011#,0,0.002790934059854029,652.5363512782881,416.4060508407151,45
89,##11##,0,0.005463665076456141,281.97740168795485,393.3955289632773,79
95,#10##0,0,3.603130393455287e-05,843.6823459617443,231.05464773515942,71
