Classifier,Condition,Action,Fitness,Prediction,Error,Experience,Time Stamp,Action Set Size,Numerosity
29,10##0#,1,0.8159712702237046,0.0,0.0,1308,19972,23.528498950644916,18
138,01#0##,1,0.8342338866521583,0.0,0.0,1252,19984,25.668359453606804,21
313,000###,1,0.8282266454469686,0.0,0.0,1163,19987,25.604766472937776,21
328,01#0##,0,0.7777346805671979,1000.0,0.0,1271,19966,25.78663688617085,19
506,11###1,1,0.796640701806767,1000.0,0.0,1168,19960,24.84074845384172,18
584,10##0#,0,0.8728489462149852,1000.0,0.0,1161,19933,21.439859391243253,12
614,001###,1,0.850558281564598,1000.0,0.0,1185,19998,24.780648945678543,20
615,0#11##,1,0.17386139883192012,1000.0,0.0,1196,19998,24.65168937940396,6
680,001###,0,0.8575722312638148,0.0,0.0,1267,19969,28.90436388388445,21
727,11###1,0,0.9236624432842637,0.0,0.0,1219,19963,27.278708658511064,22
783,#1#1#1,1,0.17555825309996845,1000.0,0.0,1131,19885,25.20188644398822,3
788,0#00##,0,0.16738274543243994,1000.0,0.0,1134,19924,29.436521470121257,5
886,11###0,0,0.8158524719315776,1000.0,0.0,1114,19995,29.418293586065353,23
929,11###0,1,0.8181494749718593,0.0,0.0,1222,19964,30.839902804446233,22
959,10##1#,0,0.8935438749715139,0.0,0.0,1170,19973,29.861056265088912,26
989,1###00,1,0.2042390143188752,0.0,0.0,1218,19964,32.053363749355995,6
1095,0#00##,1,0.2097294300770323,0.0,0.0,1155,19957,28.188915927739366,5
1306,1###11,1,0.1836911230074658,1000.0,0.0,1155,19986,25.56044338184037,5
1346,000###,0,0.8132513049777645,1000.0,0.0,1127,19983,29.111969566868957,18
1401,#1#1#1,0,0.16917430009570325,0.0,0.0,1163,19963,27.978646741166422,4
1688,#00#0#,0,0.1810650751634277,1000.0,0.0,1071,19933,30.10134882672984,4
1764,01#1##,0,0.8476541096415655,0.0,0.0,1120,19991,25.80158083726527,19
1772,#01#1#,0,0.171879602491128,0.0,0.0,1171,19973,31.22020332821416,5
2051,#00#0#,1,0.20983616266008626,0.0,0.0,1083,19987,26.635650758325987,6
2346,#1#0#0,1,0.16270501135525983,0.0,0.0,1105,19984,28.846618463274606,6
2526,01#1##,1,0.8215762340144149,1000.0,0.0,1071,19981,21.69213900792849,16
2818,10##1#,1,0.8209357482100397,1000.0,0.0,1045,19986,25.07550231102955,18
3697,0#11##,0,0.053201868590435915,0.0,0.0,1030,19991,28.8122689614016,1
10551,#1#0#0,0,0.2464173176605626,1000.0,0.0,455,19995,28.92671502729396,6
15682,#0##00,1,0.0027478451824719838,543.2267776000001,421.7070933333333,14,19998,26.4739948544,1
15774,#01#1#,1,0.03930808971023965,1000.0,0.0,12,19925,25.3585152,1
15775,#01##1,0,0.0005946971269607103,194.359738368,251.62596898133333,16,19969,28.084843417600002,1
15829,#0##0#,0,0.0023508076363719143,730.6725728256,378.19768285866667,17,19969,28.9205537513472,3
15831,#0##01,0,0.002954636449698458,692.8,361.81333333333333,8,19969,29.9024,1
15835,00####,0,0.0005012736174595801,602.69852452748,413.7349796686358,23,19983,30.22545915029965,1
15861,0##1##,1,0.0030364874661483877,770.391330816,284.25877258239996,16,19998,23.88034244608,1
15866,10####,1,0.016750075110729602,697.7152,349.14304,12,19986,24.176550400000004,2
15871,0#1###,0,0.002632349522233048,394.7543273472,388.15713525760003,17,19991,28.038376902656,2
15905,#1#1##,1,0.057626244853026524,1000.0,0.0,6,19981,21.68,3
15911,#00###,0,0.0614968521137141,1000.0,0.0,5,19983,30.6,2
15917,#1###1,1,0.037226264951342784,250.00000000000003,270.8333333333333,4,19960,25.25,1
15918,###1##,0,0.003446144084032729,207.2576,306.76309333333336,11,19991,27.4818176,1
15920,1####0,1,0.07545195799611448,1000.0,0.0,1,19964,22.0,1
15925,##11##,0,0.008338754528141255,200.00000000000003,256.66666666666663,5,19991,27.2,1
15933,######,0,0.0047630905848583364,532.8,381.86666666666673,8,19995,29.563200000000002,1
15942,111###,0,0.08158524719315777,1000.0,0.0,0,19995,29.418293586065353,1
